 March 13, 2015
 Calls
 Strike       Contract Name   Last    Bid    Ask    Change   %Change    Volumn     Open Interest  Implied Volatility
  42.50 TWTR150327P00042500   0.39   0.38   0.41      0.00     0.00%        71              1369              40.43%
  43.00 TWTR150327P00043000   0.52   0.47   0.50      0.00     0.00%        51              1175              39.75%
  43.50 TWTR150327P00043500   0.68   0.58   0.60      0.00     0.00%       113                10              38.87%
  44.00 TWTR150327P00044000   0.77   0.70   0.73      0.14   +26.92%        74              1115              38.38%
  44.50 TWTR150327P00044500   0.93   0.86   0.88      0.08   +14.04%       125                79              37.84%
  45.00 TWTR150327P00045000   1.12   1.04   1.06      0.15   +19.48%       292               964              37.50%
  45.50 TWTR150327P00045500   1.26   1.24   1.27     -0.30   -21.58%       207                81              37.31%
  46.00 TWTR150327P00046000   1.50   1.48   1.50      0.08    +6.78%        60               262              36.91%
  46.50 TWTR150327P00046500   1.79   1.74   1.76     -0.44   -26.04%       111               135              36.67%
  47.00 TWTR150327P00047000   2.11   2.02   2.05     -0.09    -5.63%        54              1189              36.52%
  47.50 TWTR150327P00047500   2.42   2.34   2.37      0.00     0.00%        65               202              36.48%
  48.00 TWTR150327P00048000   2.75   2.67   2.71      0.38   +18.36%        62               666              36.33%
  48.50 TWTR150327P00048500   3.05   3.00   3.10      0.00     0.00%         7               445              36.96%
  49.00 TWTR150327P00049000   3.50   3.40   3.50      0.54   +24.55%         1               134              37.40%
  49.50 TWTR150327P00049500   3.30   3.75   3.95      0.00     0.00%         1                16              39.06%
  50.00 TWTR150327P00050000   4.40   4.15   4.40      0.00     0.00%         7                91              40.38%
  50.50 TWTR150327P00050500   4.95   4.55   4.85      0.00     0.00%        66                53              41.41%
  51.00 TWTR150327P00051000   5.40   5.00   5.30      0.00     0.00%        26                 6              42.09%
  52.00 TWTR150327P00052000   4.85   5.95   6.40      0.00     0.00%         3                58              51.66%
  52.50 TWTR150327P00052500   5.45   5.85   6.95      0.00     0.00%         2                 2              56.35%
  53.00 TWTR150327P00053000   5.85   6.50   7.40      0.00     0.00%         2                34              56.84%
  53.50 TWTR150327P00053500   6.80   7.05   7.85      0.00     0.00%        81                91              57.13%
  54.00 TWTR150327P00054000   6.90   7.50   8.35      0.00     0.00%        19                 0              59.47%
  54.50 TWTR150327P00054500   7.40   8.00   8.85      0.00     0.00%        10                10              61.82%
  55.00 TWTR150327P00055000   6.35   8.50   9.30      0.00     0.00%         5               117              61.62%
  55.50 TWTR150327P00055500   6.80   8.15   9.80      0.00     0.00%        18                18              63.87%
 April 2, 2015
 Calls
 Strike       Contract Name   Last    Bid    Ask    Change   %Change    Volumn     Open Interest  Implied Volatility
  38.00 TWTR150402C00038000  10.50   7.85   8.45      0.00     0.00%         7                 7              65.23%
  40.00 TWTR150402C00040000   8.22   6.00   6.80      0.00     0.00%        10                15              50.29%
  42.00 TWTR150402C00042000   7.55   4.45   4.70      0.00     0.00%        25                27              47.12%
  42.50 TWTR150402C00042500   7.10   4.05   4.30      0.00     0.00%        10                81              46.29%
  43.00 TWTR150402C00043000   7.10   3.65   3.90      0.00     0.00%         1                27              45.12%
  44.00 TWTR150402C00044000   4.85   2.98   3.20      0.00     0.00%         4                78              44.34%
  45.00 TWTR150402C00045000   3.15   2.28   2.50     -0.77   -19.64%        10               257              41.99%
  45.50 TWTR150402C00045500   2.81   2.11   2.22      0.00     0.00%         1                19              41.77%
  46.00 TWTR150402C00046000   1.94   1.86   1.92      0.00     0.00%       112                58              40.72%
  46.50 TWTR150402C00046500   1.80   1.60   1.68      0.00     0.00%        10                 2              40.48%
  47.00 TWTR150402C00047000   1.51   1.40   1.45     -0.41   -17.15%       117               113              40.04%
  47.50 TWTR150402C00047500   1.25   1.19   1.25      0.20   +10.00%        75               140              39.80%
  48.00 TWTR150402C00048000   0.98   1.04   1.07     -0.32   -18.60%        27               348              39.55%
  48.50 TWTR150402C00048500   0.84   0.89   0.92     -0.43   -24.16%        31               119              39.60%
  49.00 TWTR150402C00049000   0.71   0.75   0.79     -0.32   -21.62%        27               378              39.70%
  49.50 TWTR150402C00049500   0.70   0.64   0.67     -0.11    -9.57%       215               493              39.65%
  50.00 TWTR150402C00050000   0.52   0.54   0.58     -0.34   -31.48%        36               974              39.99%
  50.50 TWTR150402C00050500   0.95   0.45   0.49      0.00     0.00%         2               819              40.04%
  51.00 TWTR150402C00051000   0.50   0.37   0.42     -0.37   -38.95%        15               202              40.33%
  51.50 TWTR150402C00051500   0.57   0.30   0.38     -0.17   -25.37%         2               486              41.31%
  52.00 TWTR150402C00052000   0.54   0.26   0.31      0.00     0.00%         1               146              41.02%
  52.50 TWTR150402C00052500   0.40   0.22   0.27     -0.23   -36.51%         9               114              41.50%
  53.00 TWTR150402C00053000   0.40   0.18   0.22      0.00     0.00%         5               206              41.31%
  53.50 TWTR150402C00053500   0.41   0.15   0.19      0.06   +17.14%         1                94              41.70%
  54.00 TWTR150402C00054000   0.31   0.13   0.16     -0.60   -65.93%         1               364              41.90%
  54.50 TWTR150402C00054500   0.52   0.11   0.14      0.00     0.00%         9               101              42.38%
  55.00 TWTR150402C00055000   0.21   0.09   0.13     -0.51   -75.00%      1516              4268              43.46%
  60.00 TWTR150402C00060000   0.17   0.01   0.07      0.00     0.00%       301               414              53.13%
  65.00 TWTR150402C00065000   0.08   0.00   0.04      0.00     0.00%        20                20              55.47%
 Puts
 Strike       Contract Name   Last    Bid    Ask    Change   %Change    Volumn     Open Interest  Implied Volatility
  38.00 TWTR150402P00038000   0.15   0.04   0.12      0.00     0.00%        12                12              46.88%
  40.00 TWTR150402P00040000   0.20   0.19   0.21      0.00     0.00%         3                60              41.99%
  41.50 TWTR150402P00041500   0.29   0.36   0.38      0.00     0.00%         5                28              40.43%
  42.00 TWTR150402P00042000   0.46   0.43   0.46     -0.06   -15.00%        40               130              39.94%
  42.50 TWTR150402P00042500   0.41   0.52   0.56      0.00     0.00%       544               524              39.70%
  43.00 TWTR150402P00043000   0.50   0.62   0.67      0.00     0.00%         3               103              39.26%
  43.50 TWTR150402P00043500   0.61   0.76   0.79      0.00     0.00%         2                51              38.67%
  44.00 TWTR150402P00044000   0.99   0.90   0.94      0.05    +7.35%        30                87              38.38%
  44.50 TWTR150402P00044500   0.67   1.07   1.11      0.18   +21.95%        14              1137              38.09%
  45.00 TWTR150402P00045000   1.26   1.25   1.30     -0.16   -14.41%        23               730              37.79%
  45.50 TWTR150402P00045500   1.52   1.46   1.52     -0.25   -17.86%         2               223              37.70%
  46.00 TWTR150402P00046000   1.89   1.70   1.75      0.29   +22.83%        11               612              37.31%
  46.50 TWTR150402P00046500   1.23   1.96   2.01      0.23   +15.86%         8                71              37.11%
  47.00 TWTR150402P00047000   1.44   2.22   2.32      0.28   +15.56%         3               622              37.45%
  47.50 TWTR150402P00047500   2.59   2.55   2.61     -0.14    -6.36%        14               174              36.96%
  48.00 TWTR150402P00048000   2.83   2.87   3.05      0.60   +31.58%         1               101              39.36%
  48.50 TWTR150402P00048500   3.05   3.15   3.40     -0.13    -4.51%         1                73              39.36%
  49.00 TWTR150402P00049000   3.20   3.50   3.75      0.55   +20.75%        13                92              38.97%
  49.50 TWTR150402P00049500   3.00   3.90   4.15      0.00     0.00%        20                71              39.36%
  50.00 TWTR150402P00050000   3.35   4.30   4.55      0.00     0.00%         3                26              39.45%
  50.50 TWTR150402P00050500   4.05   4.70   4.95      0.00     0.00%        24                47              39.11%
  51.00 TWTR150402P00051000   3.75   5.15   5.40      0.00     0.00%         1                 1              39.99%
  51.50 TWTR150402P00051500   5.15   5.55   5.85      0.00     0.00%         1                35              40.63%
  52.00 TWTR150402P00052000   4.70   6.00   6.50      0.00     0.00%         5               120              48.15%
  53.00 TWTR150402P00053000   4.30   5.90   7.45      0.00     0.00%         5                 5              51.07%
  53.50 TWTR150402P00053500   5.40   6.35   7.90      0.00     0.00%        64                65              51.37%
  54.50 TWTR150402P00054500   7.45   7.25   8.85      0.00     0.00%         5                 5              53.61%
  55.00 TWTR150402P00055000   9.00   7.85   9.35      0.00     0.00%         1                45              55.57%
  56.50 TWTR150402P00056500   7.15   9.15  10.80      0.00     0.00%        25                25              58.98%
 April 10, 2015
 Calls
 Strike       Contract Name   Last    Bid    Ask    Change   %Change    Volumn     Open Interest  Implied Volatility
  41.50 TWTR150410C00041500   6.00   5.00   5.30      0.00     0.00%        10                10              46.53%
  43.00 TWTR150410C00043000   5.19   3.85   4.10      0.00     0.00%         2                 2              43.56%
  44.50 TWTR150410C00044500   3.81   2.88   3.10      0.00     0.00%         2                 2              42.41%
  45.00 TWTR150410C00045000   2.75   2.59   2.77      0.00     0.00%         2                 2              41.50%
  46.50 TWTR150410C00046500   3.00   1.87   1.94      0.00     0.00%        10                12              39.84%
  47.00 TWTR150410C00047000   1.70   1.59   1.75     -0.41   -16.27%        10                41              40.23%
  47.50 TWTR150410C00047500   1.65   1.39   1.55      0.00     0.00%         3                88              40.14%
  48.00 TWTR150410C00048000   1.37   1.26   1.35     -0.15    -7.89%        15              1130              39.70%
  48.50 TWTR150410C00048500   1.15   1.05   1.21     -0.42   -20.49%         1                39              40.14%
  49.50 TWTR150410C00049500   1.40   0.81   0.91      0.00     0.00%         4                22              39.65%
  50.00 TWTR150410C00050000   0.71   0.70   0.78     -0.39   -27.86%         2                71              39.36%
  50.50 TWTR150410C00050500   0.81   0.57   0.68     -0.28   -25.00%         2                 7              39.45%
  51.00 TWTR150410C00051000   0.95   0.53   0.57      0.11   +11.70%         3                28              39.01%
  51.50 TWTR150410C00051500   0.76   0.45   0.49     -0.12   -13.64%         1               219              39.01%
  52.50 TWTR150410C00052500   0.31   0.33   0.36      0.00     0.00%        20                12              39.06%
  53.00 TWTR150410C00053000   0.29   0.28   0.31      0.00     0.00%        41                 7              39.26%
  53.50 TWTR150410C00053500   0.23   0.24   0.27      0.00     0.00%        46                 1              39.50%
  55.00 TWTR150410C00055000   0.16   0.15   0.18      0.03   +11.11%        16                38              40.43%
  57.00 TWTR150410C00057000   0.16   0.07   0.13      0.00     0.00%         5                 5              43.36%
  58.00 TWTR150410C00058000   0.14   0.03   0.13     -0.08   -36.36%         2                13              46.09%
 Puts
 Strike       Contract Name   Last    Bid    Ask    Change   %Change    Volumn     Open Interest  Implied Volatility
  40.00 TWTR150410P00040000   0.29   0.29   0.31      0.03   +16.67%         2                23              40.58%
  41.00 TWTR150410P00041000   0.38   0.41   0.45      0.03    +8.57%         2                 2              39.99%
  42.00 TWTR150410P00042000   0.60   0.58   0.64      0.00     0.00%        10                22              39.50%
  42.50 TWTR150410P00042500   0.67   0.68   0.76      0.17   +36.96%        74                23              39.36%
  43.00 TWTR150410P00043000   0.49   0.81   0.88     -0.06    -9.52%        85                96              38.87%
  43.50 TWTR150410P00043500   0.63   0.94   1.04      0.00     0.00%        34                88              38.92%
  44.50 TWTR150410P00044500   1.05   1.27   1.44      0.00     0.00%         1                 1              39.50%
  45.00 TWTR150410P00045000   1.65   1.47   1.67     -0.02    -1.67%         5                11              39.80%
  45.50 TWTR150410P00045500   1.70   1.75   1.90      0.13   +11.82%         1               510              39.72%
  46.00 TWTR150410P00046000   1.82   1.95   2.02      0.00     0.00%         1                 1              37.28%
  46.50 TWTR150410P00046500   1.19   2.22   2.27      0.00     0.00%        62                62              36.91%
  47.00 TWTR150410P00047000   2.29   2.45   2.71      0.00     0.00%         2                11              39.70%
  47.50 TWTR150410P00047500   2.69   2.76   3.00      0.14    +7.18%         1                18              39.40%
  48.00 TWTR150410P00048000   2.38   3.05   3.30      0.32   +12.40%         3                44              38.97%
  48.50 TWTR150410P00048500   2.47   3.35   3.65      0.00     0.00%        20                22              39.16%
  49.00 TWTR150410P00049000   3.90   3.75   4.00      0.00     0.00%         2                 2              39.01%
  49.50 TWTR150410P00049500   4.04   4.20   4.50      0.00     0.00%         1                21              41.80%
  52.50 TWTR150410P00052500   5.41   6.55   6.85      0.00     0.00%         2                 2              39.11%
 April 17, 2015
 Calls
 Strike       Contract Name   Last    Bid    Ask    Change   %Change    Volumn     Open Interest  Implied Volatility
  35.00 TWTR150417C00035000  12.38  10.85  11.65      0.00     0.00%         2                72              57.03%
  37.00 TWTR150417C00037000  10.54   8.95   9.55      0.00     0.00%        14                40              59.77%
  38.00 TWTR150417C00038000   8.20   8.10   8.50     -0.10    -0.98%        20                82              52.78%
  39.00 TWTR150417C00039000   8.75   7.10   7.65     -0.89   -10.13%         6                42              52.15%
  40.00 TWTR150417C00040000   6.45   6.45   6.70      0.00     0.00%       224               133              48.05%
  42.00 TWTR150417C00042000   5.12   4.80   5.05      0.00     0.00%         8                 3              44.63%
  43.00 TWTR150417C00043000   4.26   4.05   4.25      0.00     0.00%         7                31              42.31%
  44.00 TWTR150417C00044000   3.75   3.40   3.55     -0.62   -13.48%        12                 7              41.09%
  45.00 TWTR150417C00045000   2.89   2.87   2.89     -0.55   -14.29%       408               523              39.60%
  46.00 TWTR150417C00046000   2.36   2.34   2.36     -0.89   -24.45%      1419               748              39.23%
  47.00 TWTR150417C00047000   1.89   1.88   1.90     -0.37   -13.81%      6282              3219              38.94%
  48.00 TWTR150417C00048000   1.49   1.51   1.52     -0.33   -15.00%       428              1107              38.89%
  49.00 TWTR150417C00049000   1.19   1.18   1.20     -0.31   -17.13%       425              2201              38.82%
  50.00 TWTR150417C00050000   0.90   0.91   0.93     -0.28   -19.18%      3243              5840              38.67%
  52.50 TWTR150417C00052500   0.45   0.46   0.48     -0.18   -21.95%       292              3239              38.77%
  55.00 TWTR150417C00055000   0.23   0.23   0.25     -0.10   -23.26%        68              1678              39.55%
  57.50 TWTR150417C00057500   0.14   0.11   0.14     -0.07   -28.00%       400               449              41.11%
  60.00 TWTR150417C00060000   0.10   0.06   0.12      0.00     0.00%        58               292              45.80%
 Puts
 Strike       Contract Name   Last    Bid    Ask    Change   %Change    Volumn     Open Interest  Implied Volatility
  35.00 TWTR150417P00035000   0.08   0.03   0.10     -0.02   -20.00%        10               518              47.66%
  36.00 TWTR150417P00036000   0.10   0.07   0.13      0.00     0.00%       404               351              45.90%
  37.00 TWTR150417P00037000   0.16   0.14   0.18      0.00     0.00%        11               758              44.73%
  38.00 TWTR150417P00038000   0.20   0.21   0.22      0.04   +26.67%        13              1604              42.38%
  39.00 TWTR150417P00039000   0.30   0.29   0.31      0.05   +21.74%        74               532              41.50%
  40.00 TWTR150417P00040000   0.41   0.40   0.42      0.02    +6.25%       718               616              40.43%
  41.00 TWTR150417P00041000   0.58   0.55   0.57      0.07   +15.91%       106               285              39.55%
  42.00 TWTR150417P00042000   0.84   0.76   0.77      0.08   +12.90%       495               703              38.82%
  43.00 TWTR150417P00043000   1.07   1.02   1.03      0.15   +18.29%        88               819              38.28%
  44.00 TWTR150417P00044000   1.39   1.34   1.35      0.18   +16.36%       142               427              37.74%
  45.00 TWTR150417P00045000   1.73   1.73   1.75      0.17   +12.06%       329               736              37.45%
  46.00 TWTR150417P00046000   2.22   2.20   2.22      0.21   +11.60%       114               549              37.16%
  47.00 TWTR150417P00047000   2.76   2.75   2.76      0.27   +12.00%       654               820              36.84%
  48.00 TWTR150417P00048000   3.36   3.35   3.40      0.17    +6.07%       168               547              37.06%
  49.00 TWTR150417P00049000   3.95   3.95   4.25      0.33    +9.65%        33               515              40.04%
  50.00 TWTR150417P00050000   4.76   4.65   4.95      1.11   +32.55%         9               389              39.36%
  52.50 TWTR150417P00052500   5.55   6.80   7.10      0.00     0.00%        10               121              42.24%
  55.00 TWTR150417P00055000   7.42   7.90   9.45      0.00     0.00%        10               206              46.92%
 April 24, 2015
 Calls
 Strike       Contract Name   Last    Bid    Ask    Change   %Change    Volumn     Open Interest  Implied Volatility
  46.50 TWTR150424C00046500   2.62   2.25   2.54      0.00     0.00%        10                12              42.41%
  47.50 TWTR150424C00047500   2.02   1.92   2.05      0.00     0.00%        23                 2              41.24%
  48.00 TWTR150424C00048000   1.89   1.61   1.90     -0.64   -24.15%         2                18              41.80%
  48.50 TWTR150424C00048500   1.61   1.45   1.71     -0.07    -3.21%        20                11              41.55%
  51.50 TWTR150424C00051500   1.15   0.75   0.86      0.00     0.00%         2                 8              40.38%
  52.50 TWTR150424C00052500   1.04   0.55   0.68      0.00     0.00%         4                 5              40.33%
 Puts
 Strike       Contract Name   Last    Bid    Ask    Change   %Change    Volumn     Open Interest  Implied Volatility
  42.50 TWTR150424P00042500   1.05   1.09   1.24      0.00     0.00%         2                10              42.07%
  43.00 TWTR150424P00043000   1.20   1.20   1.40      0.05    +4.55%         2                 3              41.90%
  44.00 TWTR150424P00044000   1.68   1.53   1.75      0.00     0.00%        10                 4              41.41%
  45.00 TWTR150424P00045000   2.00   1.96   2.18      0.10    +5.88%         1                33              41.26%
  46.00 TWTR150424P00046000   2.49   2.44   2.56      0.00     0.00%         1                 4              39.45%
  47.00 TWTR150424P00047000   2.95   2.96   3.15     -0.14    -5.26%         2                 5              39.94%
  48.00 TWTR150424P00048000   3.15   3.40   3.80      0.00     0.00%         2                 8              40.48%
  50.50 TWTR150424P00050500   4.45   4.95   5.70      0.00     0.00%         5                 5              42.92%
  55.00 TWTR150424P00055000   9.20   9.05   9.30      0.00     0.00%        50                50              38.72%
 June 19, 2015
 Calls
 Strike       Contract Name   Last    Bid    Ask    Change   %Change    Volumn     Open Interest  Implied Volatility
  18.00 TWTR150619C00018000  23.00  26.75  29.55      0.00     0.00%         2                 0              91.41%
  19.00 TWTR150619C00019000  20.35  25.80  28.55      0.00     0.00%        10                 7              89.06%
  20.00 TWTR150619C00020000  28.70  24.85  27.55      0.00     0.00%        10               266              86.52%
  21.00 TWTR150619C00021000  25.50  23.75  25.80      0.00     0.00%         2                 7             112.50%
  22.00 TWTR150619C00022000  26.90  23.65  24.85      0.00     0.00%         1                12              81.25%
  23.00 TWTR150619C00023000  23.15  22.35  23.80      0.00     0.00%         1                15              61.13%
  24.00 TWTR150619C00024000  16.29  21.70  22.80      0.00     0.00%         1                35              72.75%
  25.00 TWTR150619C00025000  22.80  20.70  21.80     -0.20    -0.88%         5               139              68.75%
  26.00 TWTR150619C00026000  22.30  19.60  20.80      0.00     0.00%        20                23              61.91%
  27.00 TWTR150619C00027000  20.25  18.80  19.80      0.00     0.00%         4                75              63.67%
  28.00 TWTR150619C00028000  18.30  17.90  18.80      0.00     0.00%        50               119              62.21%
  29.00 TWTR150619C00029000  20.80  16.85  17.85      0.00     0.00%         1                89              58.50%
  30.00 TWTR150619C00030000  16.56  16.00  16.80      0.00     0.00%         7               464              56.79%
  31.00 TWTR150619C00031000  15.61  14.35  17.05      0.00     0.00%        35               129              62.11%
  32.00 TWTR150619C00032000  16.60  14.20  15.10      0.00     0.00%         1                83              56.93%
  33.00 TWTR150619C00033000  16.43  13.25  15.10      0.00     0.00%        10                88              64.70%
  34.00 TWTR150619C00034000  16.14  12.40  14.05      0.00     0.00%         1               236              61.47%
  35.00 TWTR150619C00035000  13.05  11.55  12.45     -0.65    -4.76%         2              1423              53.22%
  36.00 TWTR150619C00036000  12.00  10.70  11.45     -0.30    -2.44%         9              2217              50.73%
  37.00 TWTR150619C00037000  11.40   9.90  10.55      0.00     0.00%         2              1606              54.54%
  38.00 TWTR150619C00038000   9.51   9.20   9.60     -0.19    -1.77%         1               692              51.12%
  39.00 TWTR150619C00039000   9.60   8.45   8.85      0.05    +0.52%        10              1230              50.44%
  40.00 TWTR150619C00040000   7.95   7.95   8.00     -0.53    -5.89%      1259             11841              48.12%
  41.00 TWTR150619C00041000   7.30   7.20   7.45      0.00     0.00%         2              2346              49.29%
  42.00 TWTR150619C00042000   6.70   6.60   6.75      0.38    +5.19%        14              1296              48.19%
  43.00 TWTR150619C00043000   6.32   5.90   6.20      0.32    +4.62%       100              1873              48.44%
  44.00 TWTR150619C00044000   5.65   5.40   5.65      0.26    +4.10%        85              1665              48.29%
  45.00 TWTR150619C00045000   4.85   4.80   5.05     -0.40    -6.96%       105              5591              47.27%
  46.00 TWTR150619C00046000   4.40   4.40   4.55     -0.39    -7.50%        41              1483              46.92%
  47.00 TWTR150619C00047000   3.90   4.00   4.10     -0.55   -11.22%        37              5487              46.77%
  48.00 TWTR150619C00048000   3.60   3.60   3.65     -0.29    -6.84%        79              4350              46.27%
  49.00 TWTR150619C00049000   3.25   3.20   3.30     -0.22    -5.68%        10              2059              46.44%
  50.00 TWTR150619C00050000   2.85   2.87   2.91     -0.30    -8.70%       484             19158              45.89%
  52.50 TWTR150619C00052500   2.13   2.14   2.16     -0.27   -10.31%       183              6424              45.51%
  55.00 TWTR150619C00055000   1.58   1.58   1.59     -0.16    -8.56%      4259             16008              45.31%
  57.50 TWTR150619C00057500   1.14   1.13   1.15     -0.18   -12.86%        56              1959              45.09%
  60.00 TWTR150619C00060000   0.82   0.79   0.83     -0.09    -9.00%       121              5038              45.02%
  65.00 TWTR150619C00065000   0.41   0.36   0.44     -0.16   -26.23%         3              2897              45.41%
  70.00 TWTR150619C00070000   0.21   0.19   0.23     -0.03    -9.38%       303              1642              45.80%
  75.00 TWTR150619C00075000   0.15   0.11   0.13      0.00     0.00%        21              1553              46.68%
 Puts
 Strike       Contract Name   Last    Bid    Ask    Change   %Change    Volumn     Open Interest  Implied Volatility
  18.00 TWTR150619P00018000   0.02   0.00   0.03      0.00     0.00%       170               388              68.75%
  19.00 TWTR150619P00019000   0.02   0.00   0.04      0.00     0.00%       451               982              66.41%
  20.00 TWTR150619P00020000   0.03   0.00   0.04      0.00     0.00%        13               661              63.28%
  21.00 TWTR150619P00021000   0.08   0.00   0.05      0.00     0.00%        21                93              60.94%
  22.00 TWTR150619P00022000   0.08   0.00   0.06      0.00     0.00%         2               134              58.98%
  23.00 TWTR150619P00023000   0.05   0.01   0.06      0.00     0.00%         2               144              57.03%
  24.00 TWTR150619P00024000   0.05   0.02   0.07     -0.08   -66.67%         1               191              55.47%
  25.00 TWTR150619P00025000   0.06   0.02   0.10      0.00     0.00%        12               491              54.49%
  26.00 TWTR150619P00026000   0.08   0.05   0.12      0.00     0.00%        25               553              54.10%
  27.00 TWTR150619P00027000   0.07   0.07   0.14      0.00     0.00%         1               502              52.73%
  28.00 TWTR150619P00028000   0.12   0.06   0.17      0.00     0.00%         5               658              50.39%
  29.00 TWTR150619P00029000   0.18   0.16   0.19      0.00     0.00%         4               518              51.07%
  30.00 TWTR150619P00030000   0.22   0.14   0.26      0.09   +47.37%        30              3396              51.95%
  31.00 TWTR150619P00031000   0.26   0.19   0.33      0.00     0.00%         5              3592              51.37%
  32.00 TWTR150619P00032000   0.37   0.35   0.38      0.00     0.00%        25               526              49.66%
  33.00 TWTR150619P00033000   0.40   0.43   0.48      0.00     0.00%        10              1843              49.22%
  34.00 TWTR150619P00034000   0.39   0.55   0.59      0.00     0.00%        61              1869              48.54%
  35.00 TWTR150619P00035000   0.65   0.67   0.73      0.00     0.00%        37              5310              48.10%
  36.00 TWTR150619P00036000   0.87   0.84   0.89      0.00     0.00%        35              4690              47.61%
  37.00 TWTR150619P00037000   1.08   1.02   1.07     -0.06    -5.94%       101              8888              47.05%
  38.00 TWTR150619P00038000   1.24   1.24   1.26      0.09    +8.49%       453              4021              46.24%
  39.00 TWTR150619P00039000   1.49   1.49   1.53      0.11    +8.73%        56              5630              46.22%
  40.00 TWTR150619P00040000   1.78   1.78   1.80      0.13    +8.67%       297              7958              45.70%
  41.00 TWTR150619P00041000   2.11   2.09   2.14      0.21   +11.73%        88              2734              45.70%
  42.00 TWTR150619P00042000   2.47   2.46   2.50      0.14    +6.51%       142              2420              45.46%
  43.00 TWTR150619P00043000   2.84   2.85   2.89      0.32   +13.33%       181              4628              45.17%
  44.00 TWTR150619P00044000   3.30   3.25   3.35      0.29   +10.25%        18              5600              45.24%
  45.00 TWTR150619P00045000   3.85   3.75   3.80      0.00     0.00%        28              6028              44.80%
  46.00 TWTR150619P00046000   4.30   4.25   4.35      0.00     0.00%        56               813              45.02%
  47.00 TWTR150619P00047000   4.80   4.75   4.90      0.55   +13.92%         1              5031              44.87%
  48.00 TWTR150619P00048000   5.20   5.35   5.50     -0.20    -4.17%         1              2488              44.87%
  49.00 TWTR150619P00049000   5.25   5.95   6.20      0.10    +1.89%       623               794              45.58%
  50.00 TWTR150619P00050000   6.74   6.55   6.80      0.05    +0.83%        45              1089              44.90%
  52.50 TWTR150619P00052500   7.25   8.30   8.60      0.00     0.00%         8               692              45.02%
  55.00 TWTR150619P00055000  10.02  10.20  10.55      0.73    +8.00%         5               292              45.02%
  57.50 TWTR150619P00057500  11.70  12.25  12.65      0.00     0.00%         6                54              45.34%
  60.00 TWTR150619P00060000  13.10  14.45  14.80      0.00     0.00%         2               596              44.82%
  70.00 TWTR150619P00070000  22.37  22.70  24.55      0.00     0.00%         1                 1              55.52%
  75.00 TWTR150619P00075000  27.22  27.60  29.50      0.00     0.00%         3                10              60.64%
 September 18, 2015
 Calls
 Strike       Contract Name   Last    Bid    Ask    Change   %Change    Volumn     Open Interest  Implied Volatility
  20.00 TWTR150918C00020000  29.00  25.40  27.55      0.00     0.00%         2                79              75.59%
  25.00 TWTR150918C00025000  24.50  20.45  23.15      0.00     0.00%        20                20              66.26%
  26.00 TWTR150918C00026000  13.15  19.85  22.20      0.00     0.00%        20                20              67.53%
  27.00 TWTR150918C00027000  16.57  18.45  21.30      0.00     0.00%         5                52              60.99%
  29.00 TWTR150918C00029000  17.50  17.45  18.80      0.00     0.00%         1                 0              58.98%
  30.00 TWTR150918C00030000  16.95  16.60  17.80      0.35    +2.03%        10               194              56.89%
  31.00 TWTR150918C00031000  18.83  15.65  17.45      0.00     0.00%        10                12              58.84%
  32.00 TWTR150918C00032000  18.72  14.95  15.85      0.00     0.00%         6                29              53.37%
  33.00 TWTR150918C00033000  14.92  14.00  14.95      0.00     0.00%         2                 0              51.17%
  34.00 TWTR150918C00034000  14.05  13.30  14.25      0.00     0.00%         1                 5              51.76%
  35.00 TWTR150918C00035000  13.50  12.65  13.10      0.00     0.00%         2                38              52.25%
  36.00 TWTR150918C00036000  13.50  11.85  12.35      0.00     0.00%         5               268              51.60%
  37.00 TWTR150918C00037000  12.65  11.15  11.65      0.00     0.00%         2               312              51.27%
  38.00 TWTR150918C00038000  10.80  10.45  10.95      0.00     0.00%         1                52              50.71%
  39.00 TWTR150918C00039000  11.45   9.75  10.25      0.00     0.00%        20                73              49.95%
  40.00 TWTR150918C00040000  10.35   9.30   9.60      0.00     0.00%        10              1799              49.46%
  41.00 TWTR150918C00041000  10.04   8.50   9.00      0.00     0.00%         7                89              49.19%
  42.00 TWTR150918C00042000   8.02   7.95   8.40      0.00     0.00%         1              1722              48.73%
  43.00 TWTR150918C00043000   7.70   7.35   7.80      0.00     0.00%         1                74              48.08%
  44.00 TWTR150918C00044000   7.10   6.90   7.30      0.00     0.00%        11                79              48.05%
  45.00 TWTR150918C00045000   6.60   6.35   6.80     -0.30    -3.90%         3              1025              47.80%
  46.00 TWTR150918C00046000   6.36   5.90   6.30      0.00     0.00%        11                43              47.38%
  47.00 TWTR150918C00047000   5.60   5.55   5.85      0.23    +3.83%        84               387              47.14%
  48.00 TWTR150918C00048000   5.40   5.15   5.40      0.40    +7.08%        66              2159              46.74%
  49.00 TWTR150918C00049000   5.00   4.80   5.00     -0.22    -3.76%        18               226              46.53%
  50.00 TWTR150918C00050000   4.60   4.40   4.60      0.11    +2.20%        48              2756              46.17%
  52.50 TWTR150918C00052500   3.70   3.45   3.75      0.00     0.00%        16               122              45.63%
  55.00 TWTR150918C00055000   2.85   2.72   3.05     -0.20    -5.88%        22               763              45.30%
  57.50 TWTR150918C00057500   2.37   2.22   2.49      0.00     0.00%        10                48              45.22%
  60.00 TWTR150918C00060000   1.88   1.75   1.93      0.00     0.00%         2               398              44.24%
